case_type,stage,state,days_pending_so_far,past_adjournments,days_to_disposal
Property,Passing of Orders,Andhra Pradesh,0,0,6240
Property,Passing of Orders,Andhra Pradesh,0,0,6330
Property,Passing of Orders,Andhra Pradesh,0,0,5930
Property,Passing of Orders,Andhra Pradesh,0,0,2799
Property,Passing of Orders,Andhra Pradesh,0,0,460
Property,Passing of Orders,Andhra Pradesh,0,0,2603
Property,Passing of Orders,Andhra Pradesh,0,0,5890
Property,Passing of Orders,Andhra Pradesh,0,0,2560
Property,Passing of Orders,Andhra Pradesh,0,0,5594
Property,Passing of Orders,Andhra Pradesh,0,0,2133
Property,Passing of Orders,Andhra Pradesh,0,0,5794
Property,Passing of Orders,Andhra Pradesh,0,0,6214
Property,Passing of Orders,Andhra Pradesh,0,0,6090
Property,Passing of Orders,Andhra Pradesh,0,0,2799
Property,Passing of Orders,Andhra Pradesh,0,0,4007
Property,Passing of Orders,Andhra Pradesh,0,0,2944
Property,Passing of Orders,Andhra Pradesh,0,0,3972
Property,Passing of Orders,Andhra Pradesh,0,0,6665
Property,Passing of Orders,Andhra Pradesh,0,0,5380
Property,Passing of Orders,Andhra Pradesh,0,0,844
Property,Passing of Orders,Andhra Pradesh,0,0,1092
Property,Passing of Orders,Andhra Pradesh,0,0,6597
Property,Passing of Orders,Andhra Pradesh,0,0,1131
Property,Passing of Orders,Andhra Pradesh,0,0,2813
Property,Passing of Orders,Andhra Pradesh,0,0,1929
Property,Passing of Orders,Andhra Pradesh,0,0,4131
Property,Passing of Orders,Andhra Pradesh,0,0,653
Property,Passing of Orders,Andhra Pradesh,0,0,1750
Property,Passing of Orders,Andhra Pradesh,0,0,3136
Property,Passing of Orders,Andhra Pradesh,0,0,2696
Property,Passing of Orders,Andhra Pradesh,0,0,2863
Property,Passing of Orders,Andhra Pradesh,0,0,6017
Property,Passing of Orders,Andhra Pradesh,0,0,2000
Property,Passing of Orders,Andhra Pradesh,0,0,6197
Property,Passing of Orders,Andhra Pradesh,0,0,6408
Property,Passing of Orders,Andhra Pradesh,0,0,570
Property,Passing of Orders,Andhra Pradesh,0,0,21
Property,Passing of Orders,Andhra Pradesh,0,0,69
Property,Passing of Orders,Andhra Pradesh,0,0,5901
Property,Passing of Orders,Andhra Pradesh,0,0,5362
Property,Passing of Orders,Andhra Pradesh,0,0,1571
Property,Passing of Orders,Andhra Pradesh,0,0,3231
Property,Passing of Orders,Andhra Pradesh,0,0,2983
Property,Passing of Orders,Andhra Pradesh,0,0,2989
Property,Passing of Orders,Andhra Pradesh,0,0,4287
Property,Passing of Orders,Andhra Pradesh,0,0,3848
Property,Passing of Orders,Andhra Pradesh,0,0,4231
Property,Passing of Orders,Andhra Pradesh,0,0,2959
Property,Passing of Orders,Andhra Pradesh,0,0,3826
Property,Passing of Orders,Andhra Pradesh,0,0,4324
Property,Passing of Orders,Andhra Pradesh,0,0,3033
Property,Passing of Orders,Andhra Pradesh,0,0,2978
Property,Passing of Orders,Andhra Pradesh,0,0,2895
Property,Passing of Orders,Andhra Pradesh,0,0,211
Property,Passing of Orders,Andhra Pradesh,0,0,4172
Property,Passing of Orders,Andhra Pradesh,0,0,2943
Property,Passing of Orders,Andhra Pradesh,0,0,2919
Property,Passing of Orders,Andhra Pradesh,0,0,5677
Property,Passing of Orders,Andhra Pradesh,0,0,4512
Property,Passing of Orders,Andhra Pradesh,0,0,6515
Property,Passing of Orders,Andhra Pradesh,0,0,3053
Property,Passing of Orders,Andhra Pradesh,0,0,4425
Property,Passing of Orders,Andhra Pradesh,0,0,6379
Civil,Evidence,Uttar Pradesh,0,0,1599
Civil,Evidence,Uttar Pradesh,0,0,958
Civil,Evidence,Uttar Pradesh,0,0,839
Civil,Evidence,Uttar Pradesh,0,0,953
Civil,Evidence,Uttar Pradesh,0,0,1320
Civil,Evidence,Uttar Pradesh,0,0,1430
Civil,Evidence,Uttar Pradesh,0,0,1430
Civil,Evidence,Uttar Pradesh,0,0,1127
Civil,Evidence,Uttar Pradesh,0,0,1258
Civil,Evidence,Uttar Pradesh,0,0,604
Civil,Evidence,Uttar Pradesh,0,0,1875
Civil,Evidence,Uttar Pradesh,0,0,565
Civil,Evidence,Uttar Pradesh,0,0,1568
Civil,Evidence,Uttar Pradesh,0,0,479
Civil,Evidence,Uttar Pradesh,0,0,621
Civil,Evidence,Uttar Pradesh,0,0,777
Civil,Evidence,Uttar Pradesh,0,0,390
Civil,Evidence,Uttar Pradesh,0,0,599
Civil,Evidence,Uttar Pradesh,0,0,906
Civil,Evidence,Uttar Pradesh,0,0,1007
Civil,Evidence,Uttar Pradesh,0,0,1281
Civil,Evidence,Uttar Pradesh,0,0,1387
Civil,Evidence,Uttar Pradesh,0,0,1319
Civil,Evidence,Uttar Pradesh,0,0,1175
Civil,Evidence,Uttar Pradesh,0,0,1254
Civil,Evidence,Uttar Pradesh,0,0,979
Civil,Evidence,Uttar Pradesh,0,0,590
Civil,Evidence,Uttar Pradesh,0,0,1724
Civil,Evidence,Uttar Pradesh,0,0,1428
Civil,Evidence,Uttar Pradesh,0,0,1726
Civil,Evidence,Uttar Pradesh,0,0,1489
Civil,Evidence,Uttar Pradesh,0,0,141
Civil,Evidence,Uttar Pradesh,0,0,139
Civil,Evidence,Uttar Pradesh,0,0,1702
Civil,Evidence,Uttar Pradesh,0,0,1740
Civil,Evidence,Uttar Pradesh,0,0,1986
Civil,Evidence,Uttar Pradesh,0,0,1973
Civil,Evidence,Uttar Pradesh,0,0,1001
Civil,Evidence,Uttar Pradesh,0,0,727
Civil,Evidence,Uttar Pradesh,0,0,358
Civil,Evidence,Uttar Pradesh,0,0,656
Civil,Evidence,Uttar Pradesh,0,0,1057
Civil,Evidence,Uttar Pradesh,0,0,1110
Civil,Evidence,Uttar Pradesh,0,0,901
Civil,Evidence,Uttar Pradesh,0,0,459
Civil,Evidence,Uttar Pradesh,0,0,458
Civil,Evidence,Uttar Pradesh,0,0,1
Civil,Evidence,Uttar Pradesh,0,0,1617
Civil,Evidence,Uttar Pradesh,0,0,606
Civil,Evidence,Uttar Pradesh,0,0,1345
Civil,Evidence,Uttar Pradesh,0,0,966
Civil,Evidence,Uttar Pradesh,0,0,1114
Civil,Evidence,Uttar Pradesh,0,0,1451
Civil,Evidence,Uttar Pradesh,0,0,760
Civil,Evidence,Uttar Pradesh,0,0,1027
Civil,Evidence,Uttar Pradesh,0,0,1489
Civil,Evidence,Uttar Pradesh,0,0,1694
Civil,Evidence,Uttar Pradesh,0,0,1618
Civil,Evidence,Uttar Pradesh,0,0,1829
Civil,Evidence,Uttar Pradesh,0,0,1914
Civil,Evidence,Uttar Pradesh,0,0,1829
Civil,Evidence,Uttar Pradesh,0,0,1749
Civil,Evidence,Uttar Pradesh,0,0,1702
Civil,Evidence,Uttar Pradesh,0,0,1662
Civil,Evidence,Uttar Pradesh,0,0,1619
Civil,Evidence,Uttar Pradesh,0,0,1756
Civil,Evidence,Uttar Pradesh,0,0,873
Civil,Evidence,Uttar Pradesh,0,0,1201
Civil,Evidence,Uttar Pradesh,0,0,223
Civil,Evidence,Uttar Pradesh,0,0,6
Civil,Evidence,Uttar Pradesh,0,0,575
Civil,Evidence,Uttar Pradesh,0,0,1609
Civil,Evidence,Uttar Pradesh,0,0,454
Civil,Evidence,Uttar Pradesh,0,0,1081
Civil,Evidence,Uttar Pradesh,0,0,953
Civil,Evidence,Uttar Pradesh,0,0,1061
Civil,Evidence,Uttar Pradesh,0,0,1781
Civil,Evidence,Uttar Pradesh,0,0,1478
Civil,Evidence,Uttar Pradesh,0,0,946
Civil,Evidence,Uttar Pradesh,0,0,1210
Civil,Evidence,Uttar Pradesh,0,0,1528
Civil,Evidence,Uttar Pradesh,0,0,169
Civil,Evidence,Uttar Pradesh,0,0,553
Civil,Evidence,Uttar Pradesh,0,0,1519
Civil,Evidence,Uttar Pradesh,0,0,698
Civil,Evidence,Uttar Pradesh,0,0,1534
Civil,Evidence,Uttar Pradesh,0,0,1521
Civil,Evidence,Uttar Pradesh,0,0,1894
Civil,Evidence,Uttar Pradesh,0,0,997
Civil,Evidence,Uttar Pradesh,0,0,1843
Civil,Evidence,Uttar Pradesh,0,0,1960
Civil,Evidence,Uttar Pradesh,0,0,1128
Civil,Evidence,Uttar Pradesh,0,0,936
Civil,Evidence,Uttar Pradesh,0,0,1176
Civil,Evidence,Uttar Pradesh,0,0,602
Civil,Evidence,Uttar Pradesh,0,0,733
Civil,Evidence,Uttar Pradesh,0,0,752
Civil,Passing of Orders,Delhi,0,0,198
Civil,Passing of Orders,Delhi,0,0,3
Civil,Passing of Orders,Delhi,0,0,663
Civil,Passing of Orders,Delhi,0,0,787
Civil,Passing of Orders,Delhi,0,0,728
Civil,Passing of Orders,Delhi,0,0,1367
Civil,Passing of Orders,Delhi,0,0,185
Civil,Passing of Orders,Delhi,0,0,359
Civil,Passing of Orders,Delhi,0,0,1838
Civil,Passing of Orders,Delhi,0,0,418
Civil,Passing of Orders,Delhi,0,0,89
Civil,Passing of Orders,Delhi,0,0,130
Civil,Passing of Orders,Delhi,0,0,89
Civil,Passing of Orders,Delhi,0,0,152
Civil,Passing of Orders,Delhi,0,0,356
Civil,Passing of Orders,Delhi,0,0,624
Civil,Passing of Orders,Delhi,0,0,412
Civil,Passing of Orders,Delhi,0,0,483
Civil,Passing of Orders,Delhi,0,0,1754
Civil,Passing of Orders,Delhi,0,0,639
Civil,Passing of Orders,Delhi,0,0,113
Civil,Passing of Orders,Delhi,0,0,95
Civil,Passing of Orders,Delhi,0,0,7
Civil,Passing of Orders,Delhi,0,0,6
Civil,Passing of Orders,Delhi,0,0,7
Civil,Passing of Orders,Delhi,0,0,657
Civil,Passing of Orders,Delhi,0,0,1001
Civil,Passing of Orders,Delhi,0,0,1
Civil,Passing of Orders,Delhi,0,0,644
Civil,Passing of Orders,Delhi,0,0,254
Civil,Passing of Orders,Delhi,0,0,3
Civil,Passing of Orders,Delhi,0,0,81
Civil,Passing of Orders,Delhi,0,0,574
Civil,Passing of Orders,Delhi,0,0,1929
Civil,Passing of Orders,Delhi,0,0,4
Civil,Passing of Orders,Delhi,0,0,2
Civil,Passing of Orders,Delhi,0,0,6
Civil,Passing of Orders,Delhi,0,0,4
Civil,Passing of Orders,Delhi,0,0,336
Civil,Passing of Orders,Delhi,0,0,2
Civil,Passing of Orders,Delhi,0,0,737
Civil,Passing of Orders,Delhi,0,0,448
Civil,Passing of Orders,Delhi,0,0,861
Civil,Passing of Orders,Delhi,0,0,6
Civil,Passing of Orders,Delhi,0,0,5
Civil,Passing of Orders,Delhi,0,0,166
Civil,Passing of Orders,Delhi,0,0,5
Civil,Passing of Orders,Delhi,0,0,223
Civil,Passing of Orders,Delhi,0,0,137
Civil,Passing of Orders,Delhi,0,0,170
Civil,Passing of Orders,Delhi,0,0,153
Civil,Passing of Orders,Delhi,0,0,399
Civil,Passing of Orders,Delhi,0,0,3
Civil,Passing of Orders,Delhi,0,0,5
Civil,Passing of Orders,Delhi,0,0,4
Civil,Passing of Orders,Delhi,0,0,3
Civil,Passing of Orders,Delhi,0,0,67
Civil,Passing of Orders,Delhi,0,0,43
Civil,Passing of Orders,Delhi,0,0,616
Civil,Passing of Orders,Delhi,0,0,117
Civil,Passing of Orders,Delhi,0,0,88
Civil,Passing of Orders,Delhi,0,0,1
Civil,Passing of Orders,Delhi,0,0,25
Civil,Passing of Orders,Delhi,0,0,790
Civil,Passing of Orders,Delhi,0,0,1075
Civil,Passing of Orders,Delhi,0,0,248
Civil,Passing of Orders,Delhi,0,0,443
Civil,Passing of Orders,Delhi,0,0,1419
Civil,Passing of Orders,Delhi,0,0,39
Civil,Passing of Orders,Delhi,0,0,1
Civil,Passing of Orders,Delhi,0,0,331
Civil,Passing of Orders,Delhi,0,0,387
Civil,Passing of Orders,Delhi,0,0,285
Civil,Passing of Orders,Delhi,0,0,1050
Civil,Passing of Orders,Delhi,0,0,693
Civil,Passing of Orders,Delhi,0,0,38
Civil,Passing of Orders,Delhi,0,0,687
Civil,Passing of Orders,Delhi,0,0,1
Civil,Passing of Orders,Delhi,0,0,3
Civil,Passing of Orders,Delhi,0,0,1
Civil,Passing of Orders,Delhi,0,0,1525
Civil,Passing of Orders,Delhi,0,0,211
Civil,Passing of Orders,Delhi,0,0,9
Civil,Passing of Orders,Delhi,0,0,7
Civil,Passing of Orders,Delhi,0,0,9
Civil,Passing of Orders,Delhi,0,0,9
Civil,Passing of Orders,Delhi,0,0,304
Civil,Passing of Orders,Delhi,0,0,1
Civil,Passing of Orders,Delhi,0,0,27
Civil,Passing of Orders,Delhi,0,0,552
Civil,Passing of Orders,Delhi,0,0,100
Civil,Passing of Orders,Delhi,0,0,2
Civil,Passing of Orders,Delhi,0,0,1
Civil,Passing of Orders,Delhi,0,0,454
Civil,Passing of Orders,Delhi,0,0,1
Civil,Passing of Orders,Delhi,0,0,1609
Civil,Passing of Orders,Delhi,0,0,16
Civil,Passing of Orders,Delhi,0,0,326
Civil,Passing of Orders,Delhi,0,0,227
Property,Evidence,Maharashtra,0,0,2067
Property,Evidence,Maharashtra,0,0,510
Property,Evidence,Maharashtra,0,0,1409
Property,Evidence,Maharashtra,0,0,969
Property,Evidence,Maharashtra,0,0,2120
Property,Evidence,Maharashtra,0,0,2140
Property,Evidence,Maharashtra,0,0,412
Property,Evidence,Maharashtra,0,0,412
Property,Evidence,Maharashtra,0,0,320
Property,Evidence,Maharashtra,0,0,180
Property,Evidence,Maharashtra,0,0,922
Property,Evidence,Maharashtra,0,0,698
Property,Evidence,Maharashtra,0,0,186
Property,Evidence,Maharashtra,0,0,994
Property,Evidence,Maharashtra,0,0,1584
Property,Evidence,Maharashtra,0,0,1467
Property,Evidence,Maharashtra,0,0,1353
Property,Evidence,Maharashtra,0,0,1012
Property,Evidence,Maharashtra,0,0,2383
Property,Evidence,Maharashtra,0,0,469
Property,Evidence,Maharashtra,0,0,3675
Property,Evidence,Maharashtra,0,0,1160
Property,Evidence,Maharashtra,0,0,1127
Property,Evidence,Maharashtra,0,0,1488
Property,Evidence,Maharashtra,0,0,1193
Property,Evidence,Maharashtra,0,0,56
Property,Evidence,Maharashtra,0,0,977
Property,Evidence,Maharashtra,0,0,35
